sensor_id,location_id,parameter_name,parameter_id,parameter_units,last_value,last_datetime,expected_interval,observed_interval,coverage_datetime_from,coverage_datetime_to
14018148,5644395,pm25,2,µg/m³,181.7,2026-05-19T13:00:00Z,01:00:00,5872:00:00,2025-09-02T09:00:00Z,2026-05-19T13:00:00Z
14129446,5803519,pm25,2,µg/m³,44.6,2026-09-15T23:00:00Z,01:00:00,6542:00:00,2025-09-16T06:00:00Z,2026-09-15T23:00:00Z
14191896,5884439,pm25,2,µg/m³,35.3,2026-09-15T23:00:00Z,01:00:00,1972:00:00,2025-09-23T10:00:00Z,2026-09-15T23:00:00Z
14363855,6093552,pm25,2,µg/m³,64.81209744347467,2025-10-14T10:00:00Z,01:00:00,09:00:00,2025-10-13T07:00:00Z,2025-10-14T10:00:00Z
14398129,6098269,pm25,2,µg/m³,54.1,2026-09-15T23:00:00Z,01:00:00,6311:00:00,2025-10-17T06:00:00Z,2026-09-15T23:00:00Z
14400322,6098490,pm25,2,µg/m³,56.3,2026-09-15T23:00:00Z,01:00:00,7748:00:00,2025-10-17T13:00:00Z,2026-09-15T23:00:00Z
14400044,6098527,pm25,2,µg/m³,38.7,2026-09-15T23:00:00Z,01:00:00,7465:00:00,2025-10-17T10:00:00Z,2026-09-15T23:00:00Z
14424342,6101815,pm25,2,µg/m³,60.9,2026-09-15T23:00:00Z,01:00:00,7467:00:00,2025-10-20T11:00:00Z,2026-09-15T23:00:00Z
14424347,6101816,pm25,2,µg/m³,63.7,2026-09-15T23:00:00Z,01:00:00,6684:00:00,2025-10-20T09:00:00Z,2026-09-15T23:00:00Z
14458706,6106468,pm25,2,µg/m³,61.0,2026-09-15T23:00:00Z,01:00:00,6997:00:00,2025-10-24T07:00:00Z,2026-09-15T23:00:00Z
14514739,6114241,pm25,2,µg/m³,46.8,2026-09-15T23:00:00Z,01:00:00,6673:00:00,2025-10-31T11:00:00Z,2026-09-15T23:00:00Z
14573151,6122104,pm25,2,µg/m³,41.0,2026-09-15T23:00:00Z,01:00:00,5243:00:00,2025-11-07T04:00:00Z,2026-09-15T23:00:00Z
14573156,6122105,pm25,2,µg/m³,28.8,2026-09-15T23:00:00Z,01:00:00,4051:00:00,2025-11-07T04:00:00Z,2026-09-15T23:00:00Z
14573161,6122106,pm25,2,µg/m³,105.8,2026-09-15T23:00:00Z,01:00:00,6975:00:00,2025-11-07T04:00:00Z,2026-09-15T23:00:00Z
14599816,6125629,pm25,2,µg/m³,56.2,2026-09-15T23:00:00Z,01:00:00,5476:00:00,2025-11-10T12:00:00Z,2026-09-15T23:00:00Z
14634214,6130288,pm25,2,µg/m³,29.4,2026-09-15T23:00:00Z,01:00:00,6544:00:00,2025-11-14T14:00:00Z,2026-09-15T23:00:00Z
14634229,6130291,pm25,2,µg/m³,25.7,2026-09-15T23:00:00Z,01:00:00,5448:00:00,2025-11-14T14:00:00Z,2026-09-15T23:00:00Z
14639441,6130996,pm25,2,µg/m³,32.9,2026-09-15T23:00:00Z,01:00:00,4613:00:00,2025-11-15T06:00:00Z,2026-09-15T23:00:00Z
14641911,6131254,pm25,2,µg/m³,23.7,2026-09-12T07:00:00Z,01:00:00,5074:00:00,2025-11-15T12:00:00Z,2026-09-12T07:00:00Z
14641921,6131330,pm25,2,µg/m³,28.4,2026-09-15T23:00:00Z,01:00:00,5101:00:00,2025-11-15T13:00:00Z,2026-09-15T23:00:00Z
14671459,6135284,pm25,2,µg/m³,6.0,2026-07-11T20:00:00Z,01:00:00,3325:00:00,2025-11-18T14:00:00Z,2026-07-11T20:00:00Z
14671460,6135285,pm25,2,µg/m³,29.0,2026-09-15T10:00:00Z,01:00:00,2173:00:00,2025-11-18T14:00:00Z,2026-09-15T10:00:00Z
14671461,6135286,pm25,2,µg/m³,23.0,2026-09-08T12:00:00Z,01:00:00,6155:00:00,2025-11-18T14:00:00Z,2026-09-08T12:00:00Z
14671462,6135287,pm25,2,µg/m³,59.0,2026-09-14T17:00:00Z,01:00:00,6429:00:00,2025-11-18T14:00:00Z,2026-09-14T17:00:00Z
14671463,6135288,pm25,2,µg/m³,14.0,2026-09-15T22:00:00Z,01:00:00,3888:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671464,6135289,pm25,2,µg/m³,46.0,2026-09-15T22:00:00Z,01:00:00,4507:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671465,6135290,pm25,2,µg/m³,38.9,2026-06-16T13:00:00Z,01:00:00,722:00:00,2025-11-18T14:00:00Z,2026-06-16T13:00:00Z
14671466,6135291,pm25,2,µg/m³,38.0,2026-09-15T22:00:00Z,01:00:00,6577:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671467,6135292,pm25,2,µg/m³,102.0,2026-09-15T22:00:00Z,01:00:00,6704:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671468,6135293,pm25,2,µg/m³,56.0,2026-09-15T22:00:00Z,01:00:00,4852:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671469,6135294,pm25,2,µg/m³,134.0,2026-09-15T22:00:00Z,01:00:00,5472:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671470,6135295,pm25,2,µg/m³,59.0,2026-09-15T22:00:00Z,01:00:00,6714:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671471,6135296,pm25,2,µg/m³,40.0,2026-09-15T22:00:00Z,01:00:00,6464:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671472,6135297,pm25,2,µg/m³,45.0,2026-02-16T11:00:00Z,01:00:00,396:00:00,2025-11-18T16:00:00Z,2026-02-16T11:00:00Z
14671473,6135298,pm25,2,µg/m³,48.0,2025-12-12T06:00:00Z,01:00:00,494:00:00,2025-11-18T15:00:00Z,2025-12-12T06:00:00Z
14671474,6135299,pm25,2,µg/m³,84.0,2026-09-15T22:00:00Z,01:00:00,6722:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671475,6135300,pm25,2,µg/m³,13.0,2026-02-05T07:00:00Z,01:00:00,1541:00:00,2025-11-18T14:00:00Z,2026-02-05T07:00:00Z
14671476,6135301,pm25,2,µg/m³,43.0,2026-08-05T09:00:00Z,01:00:00,5303:00:00,2025-11-18T14:00:00Z,2026-08-05T09:00:00Z
14671477,6135302,pm25,2,µg/m³,21.0,2026-09-15T22:00:00Z,01:00:00,6511:00:00,2025-11-18T15:00:00Z,2026-09-15T22:00:00Z
14671478,6135303,pm25,2,µg/m³,61.0,2026-09-15T14:00:00Z,01:00:00,5706:00:00,2025-11-18T14:00:00Z,2026-09-15T14:00:00Z
14671479,6135304,pm25,2,µg/m³,29.0,2026-09-15T22:00:00Z,01:00:00,7127:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671480,6135305,pm25,2,µg/m³,105.0,2026-09-15T22:00:00Z,01:00:00,6682:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671481,6135306,pm25,2,µg/m³,24.8,2026-09-15T22:00:00Z,01:00:00,7035:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671482,6135307,pm25,2,µg/m³,33.0,2026-09-15T22:00:00Z,01:00:00,6805:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671483,6135308,pm25,2,µg/m³,57.0,2026-09-15T22:00:00Z,01:00:00,6714:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671484,6135309,pm25,2,µg/m³,46.0,2026-09-15T22:00:00Z,01:00:00,6256:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671485,6135310,pm25,2,µg/m³,44.0,2026-09-15T22:00:00Z,01:00:00,6768:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671486,6135311,pm25,2,µg/m³,10.0,2026-06-28T07:00:00Z,01:00:00,3666:00:00,2025-11-18T15:00:00Z,2026-06-28T07:00:00Z
14671487,6135312,pm25,2,µg/m³,19.0,2026-04-14T07:00:00Z,01:00:00,3424:00:00,2025-11-18T14:00:00Z,2026-04-14T07:00:00Z
14671488,6135313,pm25,2,µg/m³,56.0,2026-09-15T22:00:00Z,01:00:00,6230:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671489,6135314,pm25,2,µg/m³,24.2,2026-08-17T11:00:00Z,01:00:00,105:00:00,2025-11-18T15:00:00Z,2026-08-17T11:00:00Z
14671490,6135315,pm25,2,µg/m³,5.0,2026-03-16T09:00:00Z,01:00:00,1685:00:00,2025-11-18T16:00:00Z,2026-03-16T09:00:00Z
14671491,6135316,pm25,2,µg/m³,117.0,2026-03-04T23:00:00Z,01:00:00,291:00:00,2025-11-18T15:00:00Z,2026-03-04T23:00:00Z
14671492,6135317,pm25,2,µg/m³,8.0,2026-02-05T07:00:00Z,01:00:00,1688:00:00,2025-11-18T14:00:00Z,2026-02-05T07:00:00Z
14671493,6135318,pm25,2,µg/m³,55.0,2026-07-31T11:00:00Z,01:00:00,3805:00:00,2025-11-18T14:00:00Z,2026-07-31T11:00:00Z
14671494,6135319,pm25,2,µg/m³,40.0,2026-09-15T22:00:00Z,01:00:00,6766:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671495,6135320,pm25,2,µg/m³,50.0,2026-09-15T22:00:00Z,01:00:00,4243:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671496,6135321,pm25,2,µg/m³,34.0,2026-09-15T22:00:00Z,01:00:00,6822:00:00,2025-11-18T15:00:00Z,2026-09-15T22:00:00Z
14671497,6135322,pm25,2,µg/m³,10.9,2026-09-15T22:00:00Z,01:00:00,5731:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671498,6135323,pm25,2,µg/m³,42.0,2026-09-15T11:00:00Z,01:00:00,3940:00:00,2025-11-18T14:00:00Z,2026-09-15T11:00:00Z
14671499,6135324,pm25,2,µg/m³,93.0,2026-09-15T22:00:00Z,01:00:00,4881:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671500,6135325,pm25,2,µg/m³,150.0,2025-12-12T13:00:00Z,01:00:00,349:00:00,2025-11-18T14:00:00Z,2025-12-12T13:00:00Z
14671501,6135326,pm25,2,µg/m³,53.0,2026-09-15T22:00:00Z,01:00:00,4282:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671502,6135327,pm25,2,µg/m³,25.0,2025-12-22T13:00:00Z,01:00:00,776:00:00,2025-11-18T14:00:00Z,2025-12-22T13:00:00Z
14671503,6135328,pm25,2,µg/m³,69.0,2026-09-15T22:00:00Z,01:00:00,6662:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671504,6135329,pm25,2,µg/m³,82.0,2026-09-15T22:00:00Z,01:00:00,6471:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671505,6135330,pm25,2,µg/m³,73.0,2026-09-15T22:00:00Z,01:00:00,6788:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671506,6135331,pm25,2,µg/m³,7.6,2026-03-27T06:00:00Z,01:00:00,2601:00:00,2025-11-18T15:00:00Z,2026-03-27T06:00:00Z
14671507,6135332,pm25,2,µg/m³,40.0,2026-09-15T22:00:00Z,01:00:00,5161:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671508,6135333,pm25,2,µg/m³,160.0,2026-03-15T22:00:00Z,01:00:00,2560:00:00,2025-11-18T14:00:00Z,2026-03-15T22:00:00Z
14671509,6135334,pm25,2,µg/m³,60.0,2026-02-10T02:00:00Z,01:00:00,1306:00:00,2025-11-18T14:00:00Z,2026-02-10T02:00:00Z
14671510,6135335,pm25,2,µg/m³,32.0,2026-09-15T22:00:00Z,01:00:00,5658:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671511,6135336,pm25,2,µg/m³,96.0,2026-09-15T22:00:00Z,01:00:00,6160:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671512,6135337,pm25,2,µg/m³,67.9,2026-09-15T20:00:00Z,01:00:00,750:00:00,2025-11-18T17:00:00Z,2026-09-15T20:00:00Z
14671513,6135338,pm25,2,µg/m³,12.0,2026-04-17T02:00:00Z,01:00:00,2838:00:00,2025-11-18T14:00:00Z,2026-04-17T02:00:00Z
14671514,6135339,pm25,2,µg/m³,48.0,2026-09-15T22:00:00Z,01:00:00,5119:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671515,6135340,pm25,2,µg/m³,48.0,2026-09-15T22:00:00Z,01:00:00,4956:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671516,6135341,pm25,2,µg/m³,5.0,2026-02-05T07:00:00Z,01:00:00,1567:00:00,2025-11-18T14:00:00Z,2026-02-05T07:00:00Z
14671517,6135342,pm25,2,µg/m³,30.0,2026-09-15T22:00:00Z,01:00:00,4344:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671518,6135343,pm25,2,µg/m³,20.9,2026-04-28T00:00:00Z,01:00:00,2968:00:00,2025-11-18T14:00:00Z,2026-04-28T00:00:00Z
14671519,6135344,pm25,2,µg/m³,63.0,2026-09-15T22:00:00Z,01:00:00,3934:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671520,6135345,pm25,2,µg/m³,10.0,2026-07-10T22:00:00Z,01:00:00,5328:00:00,2025-11-18T14:00:00Z,2026-07-10T22:00:00Z
14671521,6135346,pm25,2,µg/m³,16.0,2026-05-05T05:00:00Z,01:00:00,3507:00:00,2025-11-18T14:00:00Z,2026-05-05T05:00:00Z
14671522,6135347,pm25,2,µg/m³,33.0,2026-08-31T11:00:00Z,01:00:00,4612:00:00,2025-11-18T15:00:00Z,2026-08-31T11:00:00Z
14671523,6135348,pm25,2,µg/m³,58.0,2026-09-15T22:00:00Z,01:00:00,6352:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671524,6135349,pm25,2,µg/m³,62.0,2026-09-15T22:00:00Z,01:00:00,6732:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671525,6135350,pm25,2,µg/m³,68.0,2026-09-14T22:00:00Z,01:00:00,6830:00:00,2025-11-18T14:00:00Z,2026-09-14T22:00:00Z
14671526,6135351,pm25,2,µg/m³,75.0,2026-09-15T18:00:00Z,01:00:00,6116:00:00,2025-11-18T14:00:00Z,2026-09-15T18:00:00Z
14671527,6135352,pm25,2,µg/m³,42.1,2026-04-15T19:00:00Z,01:00:00,2973:00:00,2025-11-18T14:00:00Z,2026-04-15T19:00:00Z
14671528,6135353,pm25,2,µg/m³,65.0,2026-09-15T22:00:00Z,01:00:00,4081:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671529,6135354,pm25,2,µg/m³,30.0,2026-09-15T19:00:00Z,01:00:00,5682:00:00,2025-11-18T16:00:00Z,2026-09-15T19:00:00Z
14671530,6135355,pm25,2,µg/m³,65.0,2026-09-15T22:00:00Z,01:00:00,4286:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671531,6135356,pm25,2,µg/m³,84.0,2026-05-07T14:00:00Z,01:00:00,3663:00:00,2025-11-18T14:00:00Z,2026-05-07T14:00:00Z
14671532,6135357,pm25,2,µg/m³,86.0,2026-09-15T22:00:00Z,01:00:00,6736:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671533,6135358,pm25,2,µg/m³,10.0,2026-02-05T07:00:00Z,01:00:00,1585:00:00,2025-11-18T14:00:00Z,2026-02-05T07:00:00Z
14671534,6135359,pm25,2,µg/m³,38.0,2026-09-15T22:00:00Z,01:00:00,5036:00:00,2025-11-18T16:00:00Z,2026-09-15T22:00:00Z
14671535,6135360,pm25,2,µg/m³,94.0,2026-09-15T22:00:00Z,01:00:00,4300:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671536,6135361,pm25,2,µg/m³,25.0,2026-09-15T22:00:00Z,01:00:00,6765:00:00,2025-11-18T15:00:00Z,2026-09-15T22:00:00Z
14671537,6135362,pm25,2,µg/m³,9.0,2026-02-05T07:00:00Z,01:00:00,1814:00:00,2025-11-18T14:00:00Z,2026-02-05T07:00:00Z
14671538,6135363,pm25,2,µg/m³,47.0,2026-09-15T22:00:00Z,01:00:00,6596:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671539,6135364,pm25,2,µg/m³,96.0,2026-09-15T22:00:00Z,01:00:00,3548:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671540,6135365,pm25,2,µg/m³,77.0,2026-09-15T22:00:00Z,01:00:00,6755:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671541,6135366,pm25,2,µg/m³,9.9,2026-08-08T05:00:00Z,01:00:00,4999:00:00,2025-11-18T14:00:00Z,2026-08-08T05:00:00Z
14671542,6135367,pm25,2,µg/m³,22.0,2026-08-14T05:00:00Z,01:00:00,761:00:00,2025-11-18T14:00:00Z,2026-08-14T05:00:00Z
14671543,6135368,pm25,2,µg/m³,85.0,2026-08-26T02:00:00Z,01:00:00,6327:00:00,2025-11-18T14:00:00Z,2026-08-26T02:00:00Z
14671544,6135369,pm25,2,µg/m³,53.0,2026-05-16T17:00:00Z,01:00:00,3910:00:00,2025-11-18T15:00:00Z,2026-05-16T17:00:00Z
14671545,6135370,pm25,2,µg/m³,86.0,2026-04-14T05:00:00Z,01:00:00,555:00:00,2025-11-18T14:00:00Z,2026-04-14T05:00:00Z
14671546,6135371,pm25,2,µg/m³,19.0,2026-09-15T22:00:00Z,01:00:00,4262:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671547,6135372,pm25,2,µg/m³,79.0,2026-03-27T06:00:00Z,01:00:00,566:00:00,2025-11-18T14:00:00Z,2026-03-27T06:00:00Z
14671548,6135373,pm25,2,µg/m³,135.0,2025-12-09T08:00:00Z,01:00:00,446:00:00,2025-11-18T14:00:00Z,2025-12-09T08:00:00Z
14671549,6135374,pm25,2,µg/m³,49.0,2026-09-15T22:00:00Z,01:00:00,6584:00:00,2025-11-18T14:00:00Z,2026-09-15T22:00:00Z
14671550,6135375,pm25,2,µg/m³,272.0,2025-11-27T12:00:00Z,01:00:00,181:00:00,2025-11-18T14:00:00Z,2025-11-27T12:00:00Z
14671551,6135376,pm25,2,µg/m³,15.9,2026-09-15T22:00:00Z,01:00:00,5935:00:00,2025-11-18T15:00:00Z,2026-09-15T22:00:00Z
14671552,6135377,pm25,2,µg/m³,56.0,2026-09-11T16:00:00Z,01:00:00,4369:00:00,2025-11-18T14:00:00Z,2026-09-11T16:00:00Z
14671553,6135378,pm25,2,µg/m³,13.2,2026-03-27T06:00:00Z,01:00:00,2815:00:00,2025-11-18T14:00:00Z,2026-03-27T06:00:00Z
14677802,6135421,pm25,2,µg/m³,36.0,2026-09-15T11:00:00Z,01:00:00,2004:00:00,2025-11-19T08:00:00Z,2026-09-15T11:00:00Z
14673707,6135423,pm25,2,µg/m³,165.9,2025-11-25T01:00:00Z,01:00:00,24:00:00,2025-11-18T23:00:00Z,2025-11-25T01:00:00Z
14923460,6135424,pm25,2,µg/m³,40.3,2026-09-15T20:00:00Z,01:00:00,198:00:00,2025-12-18T08:00:00Z,2026-09-15T20:00:00Z
