location_id,name,locality,latitude,longitude,is_monitor,is_mobile,datetime_first,datetime_last
4614770,EPA Office,,33.977293,71.5654702,False,False,2025-06-04T04:00:00Z,2026-09-13T02:00:00Z
4616262,District Health Authority,,33.6333084,73.0488857,False,False,2025-06-04T07:00:00Z,2026-09-12T13:00:00Z
4618315,DC Office Murree,,33.9065558,73.3980069,False,False,2025-06-04T11:00:00Z,2025-11-20T09:00:00Z
4618814,Gulberg III,,31.508051,74.337544,False,False,2025-06-04T12:00:00Z,2026-09-13T02:00:00Z
4629400,"PHA, Sialkot",,32.505567,74.536067,False,False,2025-06-05T09:00:00Z,2026-09-07T08:00:00Z
4629401,SCCI ,,32.507924,74.537957,False,False,2025-06-05T10:00:00Z,2026-09-12T13:00:00Z
4630451,Dc Office Sialkot,,32.505286,74.532952,False,False,2025-06-05T12:00:00Z,2025-08-04T09:00:00Z
4645154,Urban Policy Unit,,33.9899378,71.4991258,False,False,2025-06-06T18:00:00Z,2026-09-13T02:00:00Z
4698865,Cantonment,,31.539422,74.413792,False,False,2025-06-11T08:00:00Z,2026-09-13T02:00:00Z
4699919,Pak Arab,,31.418387,74.345283,False,False,2025-09-19T00:00:00Z,2026-09-13T02:00:00Z
4700982,Samanabad,,31.541983,74.298065,False,False,2025-06-11T14:00:00Z,2026-09-13T02:00:00Z
4708999,WWF,,32.4598818,74.5130851,False,False,2025-06-12T06:00:00Z,2026-06-30T05:00:00Z
4710567,Regional Ombudsman Office,,32.48209,74.52664,False,False,2025-06-12T09:00:00Z,2026-09-13T02:00:00Z
4712030,PSGMEA,,32.487371,74.512444,False,False,2025-06-12T11:00:00Z,2026-09-13T02:00:00Z
4712608,"Craftive  Apparels, Defence Road",,32.49447,74.498977,False,False,2025-06-12T13:00:00Z,2025-06-27T01:00:00Z
4721112,Agriculture  Office Emnabad Road,,32.465555,74.523957,False,False,2025-06-13T06:00:00Z,2026-09-11T10:00:00Z
4721113,SWMC,,32.516512,74.51071,False,False,2025-06-13T06:00:00Z,2026-09-13T02:00:00Z
4722655,Divisional Forest office Kotli Araian,,32.59938,74.479594,False,False,2025-06-13T08:00:00Z,2026-09-13T02:00:00Z
4723667,Cheema Palace,,32.54477,74.569535,False,False,2025-06-13T11:00:00Z,2026-09-12T18:00:00Z
4725232,AC  Sambrial,,32.477858,74.337355,False,False,2025-06-13T14:00:00Z,2026-05-07T19:00:00Z
4755317,Walled cities Authority office ,,30.19881,71.46818,False,False,2025-06-16T06:00:00Z,2026-09-12T06:00:00Z
4756280,University of Balochistan,,30.162079,66.989772,False,False,2025-06-16T08:00:00Z,2026-09-13T02:00:00Z
4756281,"WASA office, Chungi #09",,30.20645,71.47604,False,False,2025-06-16T08:00:00Z,2025-06-16T09:00:00Z
4757303,Industries and Commerce,,30.17716,67.008202,False,False,2025-06-16T09:00:00Z,2026-09-12T15:00:00Z
4757304,Quetta Commissioner Office ,,30.197606,67.0101348,False,False,2025-06-16T10:00:00Z,2026-09-13T02:00:00Z
4757305,Forman Christian College & Chartered University,,31.521146,74.333954,False,False,2025-06-16T10:00:00Z,2026-09-13T02:00:00Z
4757794,"Multan Industrial EState, Board of Management",,30.12721,71.38191,False,False,2025-06-16T11:00:00Z,2025-06-16T11:00:00Z
4758328,Multan Industrial Estate,,30.12714,71.38146,False,False,2025-09-22T08:00:00Z,2026-09-13T02:00:00Z
4758816,BUITEMS,,30.2713,66.9379,False,False,2025-06-16T13:00:00Z,2025-08-20T08:00:00Z
