sensor_id,location_id,parameter_name,parameter_id,parameter_units,last_value,last_datetime
16679658,6411330,pm25,2,µg/m³,22.1,2026-07-25T04:00:00Z
16679663,6411331,pm25,2,µg/m³,25.0,2026-09-13T02:00:00Z
16708037,6415151,pm25,2,µg/m³,41.0,2026-09-13T02:00:00Z
16708042,6415152,pm25,2,µg/m³,38.9,2026-09-11T13:00:00Z
16888522,6439605,pm25,2,µg/m³,26.2,2026-09-13T02:00:00Z
16930311,6445504,pm25,2,µg/m³,37.8,2026-09-13T02:00:00Z
16937733,6446599,pm25,2,µg/m³,27.2,2026-09-13T02:00:00Z
16938868,6446759,pm25,2,µg/m³,31.8,2026-09-13T02:00:00Z
16982238,6452195,pm25,2,µg/m³,16.8,2026-09-13T02:00:00Z
16981575,6452509,pm25,2,µg/m³,39.3,2026-09-13T02:00:00Z
17218761,6484977,pm25,2,µg/m³,25.0,2026-09-13T02:00:00Z
17234812,6487169,pm25,2,µg/m³,10.0,2026-09-01T18:31:20Z
