location_id,name,locality,latitude,longitude,is_monitor,is_mobile,datetime_first,datetime_last,error
6935,"Urban Estate-II, Hisar - HSPCB",,29.14056,75.744941,True,False,2019-02-13T00:15:00Z,2026-02-26T13:30:00Z,Internal Server Error
6969,"Huda Sector, Fatehabad - HSPCB",,29.503664,75.467934,True,False,2019-02-13T00:15:00Z,2026-02-27T02:00:00Z,Internal Server Error
10900,"Teri Gram, Gurugram - HSPCB",,28.4275,77.1465,True,False,2020-03-30T16:00:00Z,2026-02-27T02:00:00Z,Internal Server Error
10910,"Sector-12, Karnal - HSPCB",,29.6953,77.0027,True,False,2019-02-13T00:15:00Z,2026-02-27T02:15:00Z,Internal Server Error
11609,"Mhada Colony, Pune - IITM",,18.57304,73.927715,True,False,2020-11-13T12:15:00Z,2026-02-27T02:00:00Z,Internal Server Error
45008,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",,13.4127,80.1081,True,False,2021-01-05T08:00:00Z,2026-02-27T02:11:00Z,Internal Server Error
220353,"Brahmagiri, Udupi - KSPCB",,13.34194,74.74694,True,False,2021-02-10T08:00:00Z,2025-11-28T04:45:00Z,Internal Server Error
3409312,"BWSSB Kadabesanahalli, Bengaluru - CPCB",,12.9352049,77.6814488,True,False,2025-10-18T06:45:00Z,2026-02-25T01:00:00Z,Internal Server Error
3409319,"Alandur Bus Depot, Chennai - CPCB",,12.9099161,80.1076538,True,False,2025-02-18T20:15:00Z,2025-12-02T11:00:00Z,Internal Server Error
6148686,"IIT Delhi, Delhi - IITM",,28.54246,77.191651,False,False,2025-12-01T11:30:00Z,2026-02-26T18:00:00Z,Internal Server Error
6167193,"Khunmoh, Srinagar - JKPCC",,34.06313,74.96017,False,False,2025-12-16T11:00:00Z,2026-02-27T02:00:00Z,Internal Server Error
6167988,"Khrew, Pampore - JKPCC",,34.031606,75.009712,False,False,2025-12-17T05:15:00Z,2026-02-27T02:15:00Z,Internal Server Error
